Date,Nifty Bank,Nifty IT,Nifty FMCG,Nifty Auto,Nifty Pharma,Nifty Metal,Nifty Realty,Nifty Energy,Nifty Infra,Nifty PSU Bank,Nifty MNC,Nifty Service,Nifty Media,Nifty Commodities
2011-12-22,98.49987944446195,103.32064746283298,101.80967138919607,99.93708632469932,103.91414714606148,97.83521185633616,94.11117412255028,98.41266395536009,97.42962270514947,100.87525339084475,100.46708806546368,100.45796261142861,102.11614752749543,99.34820680187217
2011-12-23,98.6512246551578,103.40457066121165,101.60415579544754,99.89950918485177,103.53225742494519,97.96679522920135,94.42946073836664,98.38538323067262,97.14888744996142,100.85286331872763,100.33221800557092,100.49043912777113,102.06533600263222,99.3967324671196
2011-12-26,98.73495257884187,103.541558074154,101.47300700344337,99.85654295247448,103.16549771570963,98.05349226960485,94.67843676544268,98.3920601956054,96.82732107963251,100.70260963174202,100.23905054674489,100.51502142010008,101.95048023021755,99.43075201783738
2011-12-27,98.76053130796745,103.71125371066968,101.429890420951,99.80842362665756,102.83925323006733,98.10146186779865,94.86560816013767,98.42454459099152,96.45953069410417,100.42929713312726,100.18703955365163,100.52780465008641,101.77358323481482,99.45177645201036
2011-12-28,98.74460544567214,103.90619104374252,101.46939193779602,99.74003425964243,102.53520745931374,98.11752247446303,95.00549731832578,98.46741507134105,96.07704773107113,100.05894922835465,100.17370872040841,100.5332869302102,101.55002262197736,99.45269285517418
2011-12-29,98.69398721088865,104.1072148033237,101.57296522453632,99.65169150215665,102.2638628174024,98.08637370721385,95.07878043943981,98.52520291488445,95.69447510257393,99.59178489684962,100.20314387559901,100.53425470615903,101.3202608323936,99.42986880180767
2011-12-30,98.60559683283269,104.2882219727047,101.7574250749037,99.55625972380871,102.03692988105466,98.0028696664929,95.06712501156433,98.60973884046525,95.33379246935442,99.05214874101885,100.28709836068252,100.52525385995057,101.09104644329076,99.39198033183888
2012-01-02,98.4819242958937,104.47111530126098,101.97069007251241,99.4443519377556,101.85084981111962,97.86233908546963,94.95366930876187,98.71443520642588,94.97802591706674,98.44371819093861,100.40177431814513,100.50390643451784,100.84405503905215,99.33565187357979
2012-01-03,98.31969129634874,104.6422169313629,102.20667666797715,99.34172619781995,101.71730329692805,97.70613598838908,94.78325282740924,98.84759914970945,94.6279112273486,97.77304067679677,100.55184889832942,100.47554070332833,100.57082497580176,99.28269586945167
2012-01-04,98.1442127333363,104.79761666620301,102.4468279039808,99.29646251984478,101.64617326688344,97.5373383275653,94.57901503411397,98.99938438833681,94.32326815491058,97.0760387188441,100.7513560354382,100.46234416264471,100.31321766394139,99.23345100086377
2012-01-05,97.98508630804717,104.91317147742768,102.6764644135707,99.27629613085284,101.60330374590453,97.33599860770859,94.35579468975115,99.1388104411295,94.0883282143578,96.38085023968956,100.97214753477392,100.44923169278293,100.06665817771542,99.16363360090749
